,time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,TRG
0,0.15673828125,-3808.800048828125,-4316.0849609375,-9828.900390625,3799.33740234375,7111.22265625,1152.79443359375,9809.1005859375,-5738.4873046875,-13918.56640625,9817.7998046875,5837.54296875,4744.28125,-2766.9931640625,-5972.2470703125,-9208.53515625,-6552.68505859375,-5.699999809265137,-18.0,1325.3367919921875,9825.2998046875,-17.399999618530273,9836.69921875,-9505.0205078125,-7514.1962890625,0.0
0,0.159912109375,-1512.5999755859375,-2206.805908203125,-2307.248046875,-4223.08447265625,-5300.73876953125,-5980.552734375,-2742.129638671875,-3428.544921875,-1693.7938232421875,5889.7216796875,-781.4340209960938,2263.197509765625,7943.74560546875,5425.5810546875,1612.025634765625,-318.15570068359375,-5.699999809265137,-17.399999618530273,-9816.6005859375,-2339.7568359375,-17.399999618530273,-429.5882263183594,1737.0552978515625,3347.099609375,0.0
0,0.163330078125,3568.199951171875,3542.47265625,9828.599609375,-7246.55126953125,-9823.80078125,-4918.94970703125,-9809.400390625,4865.03759765625,11635.626953125,-9309.63671875,-8836.5849609375,-4361.029296875,8624.62109375,9825.8994140625,9819.900390625,8565.267578125,-5.400000095367432,-17.100000381469727,-9816.6005859375,-9825.6005859375,-16.799999237060547,-9837.0,9806.7001953125,9816.900390625,0.0
0,0.166748046875,5520.60009765625,6378.25146484375,9598.2353515625,2552.370849609375,22.784690856933594,3165.610107421875,-9513.333984375,7706.2939453125,7143.39111328125,-9818.1005859375,-2049.879150390625,-3447.46728515625,-1173.68505859375,2904.258544921875,7648.35546875,6556.89111328125,-5.400000095367432,-17.100000381469727,-565.0057373046875,-4905.9033203125,-17.700000762939453,-8305.9736328125,6570.22314453125,5456.86279296875,0.0
0,0.169921875,2905.5,3595.88720703125,-2255.65576171875,9819.599609375,9823.5,7412.92138671875,-9804.91015625,2259.355224609375,-6996.1044921875,3291.076904296875,9814.2001953125,6084.61328125,-5944.01171875,-6206.14697265625,-4090.451416015625,-2055.844482421875,-6.0,-17.700000762939453,9816.2998046875,9680.7705078125,-17.399999618530273,7102.1650390625,-8047.19873046875,-5811.5859375,0.0
0,0.17333984375,-1290.9000244140625,-1597.638671875,-9828.900390625,6360.3994140625,8469.9091796875,1760.8387451171875,-9809.400390625,-3536.30419921875,-9573.6171875,9817.7998046875,7963.19921875,6921.04443359375,264.85150146484375,-3032.004150390625,-6049.216796875,-4291.3466796875,-5.699999809265137,-17.399999618530273,1955.3511962890625,9825.2998046875,-17.399999618530273,9836.69921875,-8561.0732421875,-4719.55419921875,0.0
0,0.1767578125,-1199.699951171875,-2071.46875,-1790.7266845703125,-4173.93701171875,-4626.79150390625,-5465.19970703125,-9597.154296875,-2952.607421875,-957.3616943359375,5750.6953125,-23.961181640625,3800.406982421875,8986.654296875,5962.3515625,1781.94921875,229.8291778564453,-6.0,-17.100000381469727,-9816.6005859375,-1970.6373291015625,-17.399999618530273,-427.48681640625,2571.763427734375,4092.796630859375,0.0
0,0.179931640625,2195.10009765625,1833.8035888671875,9275.484375,-8952.6279296875,-9823.80078125,-4736.56640625,-9809.400390625,3747.931884765625,10089.119140625,-9377.052734375,-9413.7490234375,-4337.3203125,7822.8671875,9585.7021484375,9819.900390625,7681.40185546875,-5.699999809265137,-17.100000381469727,-9816.6005859375,-9825.6005859375,-17.399999618530273,-9837.0,9806.7001953125,9816.900390625,0.0
0,0.183349609375,4599.89990234375,5194.12646484375,9498.3505859375,1234.9794921875,-606.7923583984375,3358.492431640625,-9527.703125,7065.72412109375,5965.099609375,-9818.1005859375,-2766.917236328125,-3071.71826171875,-2167.10302734375,1929.97509765625,6804.4326171875,6077.705078125,-5.400000095367432,-17.700000762939453,-2573.68212890625,-4919.396484375,-17.399999618530273,-8296.3662109375,6416.689453125,5076.673828125,0.0
0,0.1865234375,1942.800048828125,2352.345947265625,-3499.86572265625,9819.599609375,9823.5,7507.1123046875,-9809.400390625,1425.716796875,-7732.53662109375,3148.45556640625,9814.2001953125,5925.55029296875,-6880.73974609375,-7152.54296875,-5084.81884765625,-2760.353515625,-5.400000095367432,-17.399999618530273,9816.2998046875,9643.2890625,-17.399999618530273,7115.974609375,-8097.1796875,-6332.28564453125,0.0
